id,client_id,client_name,artisan_id,artisan_name,service_type,description,city,price,rating,latitude,longitude,created_at,updated_at,commune
1,CL-1176,User_1176,1493,Selma_1493,Aide-Ménagère Spécialisée,Services ménagers spécialisés.,Skikda,8873,3.3,36.7003588,6.5076167,2026-03-13 21:21:17,2026-03-17 21:21:17,Oum Toub
2,CL-1238,User_1238,1737,Racha_1737,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,5140,3.8,37.0310788,7.2566883,2026-05-22 03:51:35,2026-06-07 03:51:35,El Marsa
3,CL-1989,User_1989,2733,Kahina_2733,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,8985,3.1,36.8081951,6.5668371,2026-09-16 00:00:48,2026-10-04 00:00:48,Bin El Ouiden
4,CL-0636,User_0636,4285,Hocine_4285,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,11186,4.9,36.8976496,7.0548176,2026-07-31 15:04:44,2026-08-13 15:04:44,Filfila
5,CL-1306,User_1306,1808,Walid_1808,Plâtrier / Staffeur,Finition murale et décoration en plâtre.,Skikda,14409,4.5,36.8013181,6.461086944444444,2026-08-05 08:03:12,2026-09-01 08:03:12,Aïn Kechra
6,CL-0393,User_0393,4961,Kamel_4961,Vitrailler / Miroitier,Pose et réparation de vitres et miroirs.,Skikda,10006,4.0,36.8801317,6.9077363,2026-07-27 03:02:20,2026-08-05 03:02:20,Skikda
7,CL-0163,User_0163,3598,Fayçal_3598,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,14805,4.1,36.8600024,7.2917539,2026-01-26 08:11:59,2026-02-10 08:11:59,Ben Azzouz
8,CL-0935,User_0935,3792,Hamza_3792,Carreleur,Pose et réparation de carrelage.,Skikda,11553,4.1,37.0470382,6.4205306,2026-11-14 16:30:11,2026-12-13 16:30:11,Kanoua
9,CL-0284,User_0284,807,Adem_807,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,8043,3.9,37.0470382,6.4205306,2026-12-14 20:27:33,2026-12-14 20:27:33,Kanoua
10,CL-1892,User_1892,1941,Brahim_1941,Charpentier,Travaux de charpente et structure.,Skikda,2638,3.0,36.5864148,6.9120702,2026-06-07 05:34:08,2026-06-14 05:34:08,Zerdaza
11,CL-0186,User_0186,2304,Mohamed_2304,Ébéniste,Création et restauration de meubles.,Skikda,11045,4.6,36.8081951,6.5668371,2026-08-17 10:09:06,2026-08-25 10:09:06,Bin El Ouiden
12,CL-0806,User_0806,4573,Sofia_4573,Fabrication de parfums,Création artisanale de parfums.,Skikda,8500,4.5,36.8992518,6.7934365,2026-07-03 15:48:40,2026-07-15 15:48:40,Aïn Zouit
